Hotlineber1458Gesing taegl,Übersicht,,,,,,,,,,,,,,,,,,,,,
Startzeit,04.01 2017 : 00, UHR,,,,,,,,,,,,,,,,,,,,
Endzeit,05.01 2017 : 00, UHR,,,,,,,,,,,,,,,,,,,,
Timestamp,Anzahl der Calls,Gesamtzahl aller angenommenen Anrufe,Anzahl der verbundenen Calls,Gesamtanrufszeit [hh:mm:ss],Verbindungszeit [hh:mm:ss],Nachbearbeitungszeit [hh:mm:ss],Wartezeit [hh:mm:ss],Gesamtmailboxzeit [hh:mm:ss],Erreichbarkeit [%],durchschnittliche Verbindungszeit [sek],durchschnittliche Wartezeit [sek],maximale Wartezeit [sek],durchschnittliche Nachbearbeitungszeit [sek],ServiceLevel Zeit [sek],ServiceLevel [%],durchschnittliche Bereitschaft,maximale Bereitschaft,Anzahl Aufnahmen,Weiterleitungen,Summe Überlauf,Verlorene Anrufe,Anrufe aus Warteschleife
 04.01.2017 00:00 ,0,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.64,1,0,0,0,0,0
 04.01.2017 01:00 ,0,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0.00,0.00,0.00,0,0.00,0.00,0.00,1.00,1,0,0,0,0,0
 04.01.2017 02:00 ,0,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.90,1,0,0,0,0,0
 04.01.2017 03:00 ,0,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.25,1,0,0,0,0,0
 04.01.2017 04:00 ,0,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0.00,0.00,0.00,0,0.00,0.00,0.00,1.00,1,0,0,0,0,0
 04.01.2017 05:00 ,0,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.70,2,0,0,0,0,0
 04.01.2017 06:00 ,0,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0.00,0.00,0.00,0,0.00,0.00,0.00,2.96,5,0,0,0,0,0
 04.01.2017 07:00 ,1,1,1,0:02:15,0:01:56,0:00:08,0:00:00,0:00:00,100.00,116.00,0.00,0,8.00,19.00,100.00,3.75,6,0,0,0,0,0
 04.01.2017 08:00 ,10,10,10,0:29:30,0:27:38,0:08:07,0:00:00,0:00:00,100.00,165.80,0.00,0,48.70,11.00,90.00,5.04,6,0,0,0,0,0
 04.01.2017 09:00 ,32,32,28,1:42:07,1:29:03,0:32:38,0:09:24,0:00:00,100.00,190.82,17.63,138,69.93,29.00,78.57,5.17,6,0,0,0,4,11
 04.01.2017 10:00 ,50,50,45,2:48:22,2:07:04,0:45:33,0:37:12,0:00:00,100.00,169.42,44.64,220,60.73,53.00,40.00,5.29,6,0,0,0,5,29
 04.01.2017 11:00 ,43,43,40,2:45:54,2:07:08,0:37:06,0:34:15,0:00:00,100.00,190.70,47.79,186,55.65,54.00,60.00,5.45,7,0,0,0,3,16
 04.01.2017 12:00 ,30,30,24,1:54:42,1:11:56,0:19:37,0:40:22,0:00:00,100.00,179.83,80.73,401,49.04,87.00,54.17,6.62,8,0,0,0,6,14
 04.01.2017 13:00 ,32,32,32,1:52:39,1:44:55,0:26:11,0:04:13,0:00:00,100.00,196.72,7.91,73,49.09,11.00,84.38,4.20,8,0,0,0,0,6
 04.01.2017 14:00 ,36,36,36,2:11:59,2:04:04,0:24:03,0:03:51,0:00:00,100.00,206.78,6.42,68,40.08,7.00,86.11,6.42,8,0,0,0,0,6
 04.01.2017 15:00 ,26,26,24,1:45:08,1:19:53,0:16:41,0:22:29,0:00:00,100.00,199.71,51.88,237,41.71,57.00,66.67,5.26,7,0,0,0,2,8
 04.01.2017 16:00 ,20,20,20,1:42:23,1:33:45,0:15:33,0:06:19,0:00:00,100.00,281.25,18.95,301,46.65,26.00,90.00,4.20,7,0,0,0,0,2
 04.01.2017 17:00 ,8,8,6,0:21:21,0:17:29,0:04:21,0:03:19,0:00:00,100.00,174.83,24.88,88,43.50,22.00,66.67,3.85,5,0,0,0,2,3
 04.01.2017 18:00 ,4,4,4,0:11:22,0:10:53,0:00:42,0:00:00,0:00:00,100.00,163.25,0.00,0,10.50,6.00,100.00,4.56,5,0,0,0,0,0
 04.01.2017 19:00 ,3,3,3,0:02:06,0:01:42,0:02:58,0:00:00,0:00:00,100.00,34.00,0.00,0,59.33,8.00,100.00,3.48,5,0,0,0,0,0
 04.01.2017 20:00 ,0,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0.00,0.00,0.00,0,0.00,0.00,0.00,2.80,4,0,0,0,0,0
 04.01.2017 21:00 ,0,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0.00,0.00,0.00,0,0.00,0.00,0.00,3.09,4,0,0,0,0,0
 04.01.2017 22:00 ,0,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.90,3,0,0,0,0,0
 04.01.2017 23:00 ,0,0,0,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.73,2,0,0,0,0,0
